"한국표준직업분류 개정7차","성별","경력구분","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년","2025 년",
"관리자(1)","남","5~10년미만","월급여액","천원","8743","8857","9559","9693","10115","10000",
"관리자(1)","남","5~10년미만","전년도연간특별급여/12개월","천원","1816","1133","1377","1352","1482","1256",
"관리자(1)","남","5~10년미만","전년도 연간특별급여","천원","21786","13594","16523","16225","17779","15071",
"관리자(1)","남","5~10년미만","총근로시간","시간","176.8","180.3","165.5","175","160.5","157.8",
"관리자(1)","남","5~10년미만","근로자수","명","7854","7262","8948","10709","8943","9326",
"관리자(1)","남","10년이상","월임금총액","천원","10914","11519","12639","12612","12758","13206",
"관리자(1)","남","10년이상","월급여액","천원","9324","10050","10885","10894","11106","11415",
"관리자(1)","남","10년이상","전년도연간특별급여/12개월","천원","1590","1469","1753","1718","1653","1791",
"관리자(1)","남","10년이상","전년도 연간특별급여","천원","19075","17627","21039","20615","19833","21492",
"관리자(1)","남","10년이상","총근로시간","시간","176.7","177.9","164.2","169.7","156.6","155.8",
"관리자(1)","남","10년이상","근로자수","명","76684","70156","83393","92901","93927","85568",
"관리자(1)","여","전경력","월임금총액","천원","8396","8478","9369","9890","10554","10859",
"관리자(1)","여","전경력","월급여액","천원","7532","7718","8317","8801","9237","9380",
"관리자(1)","여","전경력","전년도연간특별급여/12개월","천원","864","759","1052","1089","1316","1479",
"관리자(1)","여","전경력","전년도 연간특별급여","천원","10367","9109","12623","13072","15796","17743",
"관리자(1)","여","전경력","총근로시간","시간","178.7","177.1","162.9","169.3","153.5","155.1",
"관리자(1)","여","전경력","근로자수","명","11175","11620","11706","17015","16633","16447",
"관리자(1)","여","1년미만","월임금총액","천원","5656","5240","5919","6154","6812","7392",
"관리자(1)","여","1년미만","월급여액","천원","5637","5239","5895","6154","6669","7392",
"관리자(1)","여","1년미만","전년도연간특별급여/12개월","천원","18","1","25","0","143","0",
"관리자(1)","여","1년미만","전년도 연간특별급여","천원","218","12","296","3","1721","0",
"관리자(1)","여","1년미만","총근로시간","시간","179.1","168.8","160.1","164.8","152.2","165.2",
"관리자(1)","여","1년미만","근로자수","명","147","326","268","199","208","236",
"관리자(1)","여","1~3년미만","월임금총액","천원","6374","6353","7040","7816","8774","8637",
"관리자(1)","여","1~3년미만","월급여액","천원","5796","6116","6417","7343","8092","8213",
"관리자(1)","여","1~3년미만","전년도연간특별급여/12개월","천원","579","238","623","473","681","424",
"관리자(1)","여","1~3년미만","전년도 연간특별급여","천원","6944","2851","7473","5679","8177","5084",
"관리자(1)","여","1~3년미만","총근로시간","시간","182.1","176.5","163.8","169.3","155.5","157.3",
"관리자(1)","여","1~3년미만","근로자수","명","557","596","590","1014","665","465",
"관리자(1)","여","3~5년미만","월임금총액","천원","7301","6977","7838","8485","8721","9010",
"관리자(1)","여","3~5년미만","월급여액","천원","6673","6458","7152","7834","7671","8012",
"관리자(1)","여","3~5년미만","전년도연간특별급여/12개월","천원","627","519","685","651","1050","997",
"관리자(1)","여","3~5년미만","전년도 연간특별급여","천원","7530","6232","8222","7810","12603","11968",
"관리자(1)","여","3~5년미만","총근로시간","시간","181.5","179.7","166.8","168","161.1","159.2",
"관리자(1)","여","3~5년미만","근로자수","명","696","476","531","769","729","702",
"관리자(1)","여","5~10년미만","월임금총액","천원","8459","7941","9553","9904","8816","9271",
"관리자(1)","여","5~10년미만","월급여액","천원","7626","7196","8373","9018","7963","8327",
"관리자(1)","여","5~10년미만","전년도연간특별급여/12개월","천원","833","745","1180","886","853","944",
"관리자(1)","여","5~10년미만","전년도 연간특별급여","천원","9992","8941","14161","10635","10238","11323",
"관리자(1)","여","5~10년미만","총근로시간","시간","177.4","180.9","163.9","167.9","155.6","156.2",
"관리자(1)","여","5~10년미만","근로자수","명","1604","1133","1079","2310","1408","1629",
"관리자(1)","여","10년이상","월임금총액","천원","8663","8878","9684","10196","10975","11287",
"관리자(1)","여","10년이상","월급여액","천원","7739","8044","8569","8977","9548","9655",
"관리자(1)","여","10년이상","전년도연간특별급여/12개월","천원","925","835","1115","1219","1427","1631",
"관리자(1)","여","10년이상","전년도 연간특별급여","천원","11098","10018","13383","14627","17128","19576",
"관리자(1)","여","10년이상","총근로시간","시간","178.5","176.9","162.6","169.6","152.8","154.5",
"관리자(1)","여","10년이상","근로자수","명","8172","9089","9239","12723","13623","13414",
"공공기관 및 기업 고위직(11)","전체","전경력","월임금총액","천원","23204","22749","24508","24699","24592","26806",
"공공기관 및 기업 고위직(11)","전체","전경력","월급여액","천원","18429","19600","21330","20983","21257","21274",
"공공기관 및 기업 고위직(11)","전체","전경력","전년도연간특별급여/12개월","천원","4776","3148","3178","3716","3335","5532",
"공공기관 및 기업 고위직(11)","전체","전경력","전년도 연간특별급여","천원","57307","37778","38141","44592","40025","66384",
"공공기관 및 기업 고위직(11)","전체","전경력","총근로시간","시간","174.4","175.7","162.2","167.4","152.2","152.4",
