KNOW직업코드,유사직업명,조사년도
19121,,2013
19122,,2013
19123,"센서제어기술자,  설계인",2013
19124,"발전기술원,  설비기술자, 기사",2013
19125,"전기기사, 전기안전기사",2013
19128,,2013
19129,,2012
19130,,2012
19131,,2013
19210,기사,2013
19220,"배전전기원, 전기기사, 기술자",2013
19230,"전기기사, 엔지니어",2013
19311,"테스트엔지니어, 시험엔지니어, 개발자",2013
19313,"PC기사 AS기사, CSP, 엔지니어",2013
19314,"PC엔지니어, 기사, 사무기수리원",2013
19320,"PC기사, AS기사",2013
19400,발전소현장운전원,2013
19401,"기술자, 전기기사, 풍력전문가",2013
19500,"전기기사, 저기기술자, 수리원, 검사원, 배전계통운영원",2013
19611,"기사, 기계조작원, 현장기사 ",2013
19621,,2013
19710,"전자제품원, 전기원, 부품원, 전기기사, 검사원",2013
20120,"연구원,  통신전문가, 통신관리기술자",2013
20121,"통신관리자, 엔지니어, 연구원, 개발자",2013
20122,"통신관리자, 정보관리자",2013
20123,연구원,2013
20125,"연구원, 개발자, 엔지니어, 통신직",2013
20128,"통신기사, 엔지니어, 연구원",2013
20129,,2012
20215,"정보통신 컨설턴트, 시스템관리자, IT컨선턴트,  시스템엔지니어",2013
20220,"정보관리자, 소프트웨어전문가, 통신개발자",2013
20231,"S/W개발자, 시스템운영자",2013
20232,프로그래머,2013
20233,"cg디자인, 자막디자이너, 엔지니어",2013
20234,"그래픽프로그래머, VR프로그래머, 3D그래픽 디자이너, 개발자, 연구원",2013
20235,신호처리연구원,2013
20236,"개발자, 엔지니어, 코더",2013
20239,연구원,2013
20240,"개발자, 프로그래머",2013
20241,,2015
20251,네트워크관리자,2013
20252,"기술자, 엔지니어 전기기사",2013
20260,"보안엔지니어, 정보보안전문가, 프로그래머",2013
20271,"엔지니어, 연구원, 서버관리자, 기사",2013
20272,"SAP ABAPER, 웹디자인, 프로그래머, 컨설턴트, 웨프로그래머",2013
20274,"편집사, 웹관리자, 웹매니저",2013
20281,"기술자, 기획자, 엔지니어",2013
20283,"통신기사, 현장기사, 장비기사, ",2013
20284,"엔지니어,  케이블기사, 장비기사",2013
20292,"정보시스템 감리사, 감리원",2013
20296,"시스템엔지니어,  프로그래머",2013
20297,연구원,2013
20298,"프로그래머, 전산원",2013
20310,영상기사,2013
20320,"엔지니어,  통신장비기사, AS기사",2013
20321,"증강현실엔지니어, 가상현실전문가",2013
20325,"프로그래머, 연구원",2013
20330,"기사, 인터넷기사, 통신기사,  IT엔지니어",2013
20411,"우편사무원, 우편관리자",2013
20420,"우체부, 정보통신원, 기사, 집배원, 택배기사",2013
21111,,2013
21210,"제빵사, 카페기사",2013
21230,"낙농기계조작원, 가공조작원",2013
21240,기계조작원,2013
21251,제빵사,2013
21260,,2013
21270,"품질관리원, 연구원,  QC, 기계조작원",2013
21280,조작기사,2013
21291,검사원,2013
21310,도축사,2013
21320,조리사,2013
22110,연구원,2013
22111,"환경기사,  분석기사, 환경연구원",2013
22112,"연구원, 대기환경기사, 환경보건기사",2013
22113,"연구원, 수질기사, 혜수관리자, 폐기물기술자",2013
22114,"소음진동전문가,  소음기사",2013
22115,"연구원, 기술자, 평가원, 환경기술자",2013
22116,"환경엔지니어링, 검사원, 분석자",2013
22117,"연구원, 기사",2013
22118,"심사원,  CDM검증심사원",2013
22119,,2012
22120,"연구원, 수질기사, 환경기사, 위생사, 보건연구사, 식품기술가, 검사원, 환경검사원",2013
22125,연구원,2013
22211,"품질관리원, 관리사무원, 품질권리사",2013
22220,"N.D, 비파괴 검사기사, 비파괴검사원, NDE",2013
22231,"안전관리자, 관리감독자,  안전기사",2013
22232,"안전검사원, 가스관리원, 안전관리요원",2013
22233,,2013
22234,"안전기사, 건축기사",2013
22250,"풍력발전연구원, 제어원,  배전운전원, 터빈운전원,  TO, 시험운전원, 조종사, 발전시험원, RO운전원 ",2013
22291,"연구원, 공정관리자, 생산관리자",2013
22292,"지질학자, 생산공학자, 석유공학자, 전기기사전기엔지니어,  태양광 연구원",2013
22293,"해양연구원, 시스템 엔지니어",2013
22294,"엔지니어, 기사",2013
22295,"연구원, QC, QA, APPL, 엔지니어",2013
22296,"형상설계엔지니어, 연구원",2013
22297,"연구원, 노섭관리원",2013
22298,"수산물 검사관, 검역관,  어의사, 질병관리사, 연구기술자, 해양연구원,  QC",2013
22300,,2012
22310,"물공장기사,  조작원",2013
22320,"환경인, 환경전문가",2013
22410,기장,2013
22420,사진작가,2013
22510,"재재기사, 목수",2013
22521,"작업기사,  기계조작원",2013
22530,"제조원, 생산원",2013
22610,조립원,2013
22620,"가구장인, 가구정비원, 가구 A/S 기사",2013
22631,조율사,2013
22640,기술자,2013
22641,,2012
22642,,2012
22650,,2013
22660,"간판기사, 간판제작자",2013
22670,포장기사,2013
23210,"농부,  농업인",2013
23219,"농업연구원, 낙농기사, 농업작업원, 착유사, 젖소사육사, 젖소관리사,  농부",2013
8531,"VMP, VMD, lSP, 전시디자이너, 인테리어 코디, 인테리어 크리에이트",2013
8532,"머천다이저, 상품마케터, 디스플레이디자이너",2013
8540,"모델러, 디지털디자인,  디지털디자이너",2013
8541,"CD, CG, 편집디자인사, 디자인기사",2013
8542,시각디자이너,2013
8543,"그림작가, 삽화가, 일러스트레이터",2013
8544,"패키지 디자이너, 랩필디자이너, 랩핑코디네이터, 선물포장기능사",2013
8545,"구매시점광고제작원, POP제작원, POP디자이너",2013
9391,"운전기사, 임원수행원, 자가용기사",2013
9410,"크레인공, (크레인)기사",2013
9420,"기사(크럭, 지게차, 현장)",2013
9510,갑판원,2013
9511,기관사,2013
9591,"운반사, 운반기사, 운반원, 화물기사",2013
9592,"배송기사, 배달원, 택배기사",2013
10120,"카 마스터, 딜러",2013
10130,,2013
10141,,2013
10145,영업원,2013
10151,"경매사, 중개인(미술품, 농수산, 상품)",2013
10152,,2013
10153,"브로커, 해운중개",2013
10200,"매매인(부동산, 토지, 주택), 중개사",2013
10201,"분양상담사,  부동산 컨설턴트, 부동산전문가",2013
10205,"부동산전문가, 부동산딜러, 부동산중개인",2013
10320,,2013
